City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,kuala kedah,6.1,100.3,78.78,94,20,2.3,MY,1684882574
297,minas de marcona,-15.2119,-75.1103,59.2,83,40,14.03,PE,1684882576
298,maintirano,-18.0667,44.0167,74.88,77,100,10.89,MG,1684882577
299,manoharpur,27.3,75.95,86.25,34,24,7.34,IN,1684882579
300,nova xavantina,-14.6667,-52.35,72.54,52,100,2.98,BR,1684882581
301,mogadishu,2.0371,45.3438,80.29,84,86,12.82,SO,1684882582
302,haiku-pauwela,20.9219,-156.3051,83.44,54,20,26.46,US,1684882583
303,yei,4.095,30.6779,67.62,95,87,3.31,SS,1684882586
304,huilong,31.8111,121.655,64.8,65,100,7.23,CN,1684882587
305,campo belo,-20.8972,-45.2772,62.19,65,29,4.27,BR,1684882588
306,whangarei,-35.7317,174.3239,62.47,68,24,11.3,NZ,1684882590
307,charters towers,-20.1,146.2667,67.91,60,17,13.18,AU,1684882591
308,bamboo flat,11.7,92.7167,80.69,89,40,2.3,IN,1684882592
309,miandrivazo,-19.5167,45.4667,68.41,85,85,1.32,MG,1684882593
310,qarauyl,48.9451,79.255,49.21,50,21,8.21,KZ,1684882595
311,dudinka,69.4058,86.1778,31.62,95,34,8.52,RU,1684882596
312,ibirama,-27.0569,-49.5178,65.32,87,0,2.44,BR,1684882597
313,lincoln city,44.9582,-124.0179,58.28,74,49,8.99,US,1684882599
314,mangrol,21.1167,70.1167,82.24,79,21,13.73,IN,1684882600
315,yulinshi,38.2906,109.7494,55.9,57,42,13.82,CN,1684882601
316,el porvenir,13.7617,-87.3458,92.53,54,81,5.91,HN,1684882507
317,fale old settlement,-9.3852,-171.2468,82.51,73,33,7.99,TK,1684882604
318,ban tak,17.0432,99.0813,76.82,85,100,4.72,TH,1684882605
319,sao joao da barra,-21.6403,-41.0511,69.89,85,84,10.6,BR,1684882606
320,las lomitas,-24.7096,-60.593,77.13,77,40,6.89,AR,1684882607
321,kurkino,53.4257,38.6582,55.22,96,100,4.38,RU,1684882608
322,tindouf,27.6711,-8.1474,66.65,45,0,18.41,DZ,1684882610
323,bikenibeu village,1.3673,173.1241,84.16,79,75,6.91,KI,1684882611
324,las heras,-46.5419,-68.9359,42.89,47,3,15.86,AR,1684882612
325,mejit,10.2753,170.8646,81.84,79,100,16.62,MH,1684882613
326,ulladulla,-35.35,150.4667,52.97,56,78,4.16,AU,1684882615
327,necochea,-38.5473,-58.7368,61.65,90,100,7.49,AR,1684882616
328,chiredzi,-21.05,31.6667,59.41,90,0,1.03,ZW,1684882617
329,mahriz,31.5917,54.4318,73.9,24,48,2.28,IR,1684882618
330,oriximina,-1.7656,-55.8661,79.56,86,87,2.37,BR,1684882621
331,tvoroyri,61.5556,-6.8111,46.83,78,71,32.91,FO,1684882622
332,bolobo,-2.1667,16.2333,75.0,88,85,2.75,CD,1684882624
333,svyetlahorsk,52.6329,29.7389,53.04,88,22,3.71,BY,1684882625
334,khandyga,62.6667,135.6,45.46,47,6,2.17,RU,1684882626
335,nouadhibou,20.931,-17.0347,67.98,68,91,16.11,MR,1684882628
336,namibe,-15.1961,12.1522,69.75,76,36,8.68,AO,1684882629
337,phitsanulok,16.9167,100.5,77.11,81,98,0.54,TH,1684882630
338,alofi,-19.0595,-169.9187,80.49,61,40,6.91,NU,1684882400
339,trancoso,22.7333,-102.3667,79.97,15,85,9.24,MX,1684882633
340,viqueque,-8.8673,126.3658,77.04,85,99,2.89,TL,1684882634
341,aykhal,66.0,111.5,31.66,84,84,12.68,RU,1684882635
342,tralee,52.2704,-9.7026,48.56,94,99,2.71,IE,1684882637
343,yokadouma,3.5167,15.05,71.8,91,98,0.51,CM,1684882638
344,serov,59.6033,60.5787,54.72,73,38,4.14,RU,1684882639
345,tazovsky,67.4667,78.7,31.28,89,29,6.69,RU,1684882640
346,douglas,41.3,-96.167,82.13,33,0,8.05,US,1684882642
347,olinda,-8.0089,-34.8553,82.13,74,40,12.66,BR,1684882643
348,big rapids,43.6981,-85.4837,77.13,31,0,5.75,US,1684882644
349,pervomayskoye,43.919,46.7102,60.35,87,39,7.11,RU,1684882646
350,mundybash,53.211,87.2983,44.29,71,23,1.92,RU,1684882647
351,el charco,2.4769,-78.1105,86.02,92,100,2.68,CO,1684882648
352,tionk essil,12.7856,-16.5217,82.45,57,100,8.43,SN,1684882649
353,st. john's,47.5649,-52.7093,36.88,92,100,17.0,CA,1684882651
354,dingcheng,32.1272,115.0394,61.0,93,100,5.5,CN,1684882652
355,kodiak,57.79,-152.4072,44.11,93,100,18.41,US,1684882653
356,kovdor,67.5662,30.4758,49.73,85,67,4.81,RU,1684882655
357,port mathurin,-19.6833,63.4167,77.0,60,32,12.41,MU,1684882527
358,igarapava,-20.0383,-47.7469,74.32,67,0,4.83,BR,1684882616
359,kapuskasing,49.4169,-82.4331,46.4,87,100,13.8,CA,1684882589
360,emirdag,39.0197,31.15,53.28,86,100,2.73,TR,1684882660
361,alamos,27.0167,-108.9333,94.39,14,100,8.32,MX,1684882661
362,hilo,19.7297,-155.09,78.51,78,40,7.0,US,1684882634
363,yeed,4.55,43.0333,80.33,63,100,12.33,SO,1684882663
364,egilsstadir,65.2653,-14.3948,44.51,49,0,28.77,IS,1684882665
